Pound	Normal	Physical	 35	 40	 100%	 I
Karate Chop*	Fighting	Physical	 25	 50	 100%	 I
Double Slap	Normal	Physical	 10	 15	 85%	 I
Comet Punch	Normal	Physical	 15	 18	 85%	 I
Mega Punch	Normal	Physical	 20	 80	 85%	 I
Pay Day	Normal	Physical	 20	 40	 100%	 I
Fire Punch	Fire	Physical	 15	 75	 100%	 I
Ice Punch	Ice	Physical	 15	 75	 100%	 I
Thunder Punch	Electric	Physical	 15	 75	 100%	 I
Scratch	Normal	Physical	 35	 40	 100%	 I
Vice Grip	Normal	Physical	 30	 55	 100%	 I
Guillotine	Normal	Physical	 5	 —	 —**	 I
Razor Wind	Normal	Special	 10	 80	 100%*	 I
Swords Dance	Normal	Status	 20*	 —	 —	 I
Cut	Normal	Physical	 30	 50	 95%	 I
Gust*	Flying	Special	 35	 40	 100%	 I
Wing Attack	Flying	Physical	 35	 60*	 100%	 I
Whirlwind	Normal	Status	 20	 —	 —*	 I
Fly	Flying	Physical	 15	 90*	 95%	 I
Bind	Normal	Physical	 20	 15	 85%*	 I
Slam	Normal	Physical	 20	 80	 75%	 I
Vine Whip	Grass	Physical	 25*	 45*	 100%	 I
Stomp	Normal	Physical	 20	 65	 100%	 I
Double Kick	Fighting	Physical	 30	 30	 100%	 I
Mega Kick	Normal	Physical	 5	 120	 75%	 I
Jump Kick	Fighting	Physical	 10*	 100*	 95%	 I
Rolling Kick	Fighting	Physical	 15	 60	 85%	 I
Sand Attack*	Ground	Status	 15	 —	 100%	 I
Headbutt	Normal	Physical	 15	 70	 100%	 I
Horn Attack	Normal	Physical	 25	 65	 100%	 I
Fury Attack	Normal	Physical	 20	 15	 85%	 I
Horn Drill	Normal	Physical	 5	 —	 —	 I
Tackle	Normal	Physical	 35	 50*	 100%*	 I
Body Slam	Normal	Physical	 15	 85	 100%	 I
Wrap	Normal	Physical	 20	 15	 90%*	 I
Take Down	Normal	Physical	 20	 90	 85%	 I
Thrash	Normal	Physical	 10*	 120*	 100%	 I
Double-Edge	Normal	Physical	 15	 120*	 100%	 I
Tail Whip	Normal	Status	 30	 —	 100%	 I
Poison Sting	Poison	Physical	 35	 15	 100%	 I
Twineedle	Bug	Physical	 20	 25	 100%	 I
Pin Missile	Bug	Physical	 20	 25*	 95%*	 I
Leer	Normal	Status	 30	 —	 100%	 I
Bite*	Dark	Physical	 25	 60	 100%	 I
Growl	Normal	Status	 40	 —	 100%	 I
Roar	Normal	Status	 20	 —	 —*	 I
Sing	Normal	Status	 15	 —	 55%	 I
Supersonic	Normal	Status	 20	 —	 55%	 I
Sonic Boom	Normal	Special	 20	*	 90%	 I
Disable	Normal	Status	 20	 —	 100%*	 I
Acid	Poison	Special	 30	 40	 100%	 I
Ember	Fire	Special	 25	 40	 100%	 I
Flamethrower	Fire	Special	 15	 90*	 100%	 I
Mist	Ice	Status	 30	 —	 —	 I
Water Gun	Water	Special	 25	 40	 100%	 I
Hydro Pump	Water	Special	 5	 110*	 80%	 I
Surf	Water	Special	 15	 90*	 100%	 I
Ice Beam	Ice	Special	 10	 90*	 100%	 I
Blizzard	Ice	Special	 5	 110*	 70%*	 I
Psybeam	Psychic	Special	 20	 65	 100%	 I
Bubble Beam	Water	Special	 20	 65	 100%	 I
Aurora Beam	Ice	Special	 20	 65	 100%	 I
Hyper Beam	Normal	Special	 5	 150	 90%	 I
Peck	Flying	Physical	 35	 35	 100%	 I
Drill Peck	Flying	Physical	 20	 80	 100%	 I
Submission	Fighting	Physical	 25	 80	 80%	 I
Low Kick	Fighting	Physical	 20	 —*	 100%*	 I
Counter	Fighting	Physical	 20	 —	 100%	 I
Seismic Toss	Fighting	Physical	 20	 —	 100%	 I
Strength	Normal	Physical	 15	 80	 100%	 I
Absorb	Grass	Special	 25*	 20	 100%	 I
Mega Drain	Grass	Special	 15*	 40	 100%	 I
Leech Seed	Grass	Status	 10	 —	 90%	 I
Growth	Normal	Status	 20*	 —	 —	 I
Razor Leaf	Grass	Physical	 25	 55	 95%	 I
Solar Beam	Grass	Special	 10	 120	 100%	 I
Poison Powder	Poison	Status	 35	 —	 75%	 I
Stun Spore	Grass	Status	 30	 —	 75%	 I
Sleep Powder	Grass	Status	 15	 —	 75%	 I
Petal Dance	Grass	Special	 10*	 120*	 100%	 I
String Shot	Bug	Status	 40	 —	 95%	 I
Dragon Rage	Dragon	Special	 10	*	 100%	 I
Fire Spin	Fire	Special	 15	 35*	 85%*	 I
Thunder Shock	Electric	Special	 30	 40	 100%	 I
Thunderbolt	Electric	Special	 15	 90*	 100%	 I
Thunder Wave	Electric	Status	 20	 —	 100%	 I
Thunder	Electric	Special	 10	 110*	 70%	 I
Rock Throw	Rock	Physical	 15	 50	 90%*	 I
Earthquake	Ground	Physical	 10	 100	 100%	 I
Fissure	Ground	Physical	 5	 —	 —	 I
Dig	Ground	Physical	 10	 80*	 100%	 I
Toxic	Poison	Status	 10	 —	 90%*	 I
Confusion	Psychic	Special	 25	 50	 100%	 I
Psychic	Psychic	Special	 10	 90	 100%	 I
Hypnosis	Psychic	Status	 20	 —	 60%*	 I
Meditate	Psychic	Status	 40	 —	 —	 I
Agility	Psychic	Status	 30	 —	 —	 I
Quick Attack	Normal	Physical	 30	 40	 100%	 I
Rage	Normal	Physical	 20	 20	 100%	 I
Teleport	Psychic	Status	 20	 —	 —	 I
Night Shade	Ghost	Special	 15	 —	 100%	 I
Mimic	Normal	Status	 10	 —	 100%	 I
Screech	Normal	Status	 40	 —	 85%	 I
Double Team	Normal	Status	 15	 —	 —	 I
Recover	Normal	Status	 10*	 —	 —	 I
Harden	Normal	Status	 30	 —	 —	 I
Minimize	Normal	Status	 10*	 —	 —	 I
Smokescreen	Normal	Status	 20	 —	 100%	 I
Confuse Ray	Ghost	Status	 10	 —	 100%	 I
Withdraw	Water	Status	 40	 —	 —	 I
Defense Curl	Normal	Status	 40	 —	 —	 I
Barrier	Psychic	Status	 20*	 —	 —	 I
Light Screen	Psychic	Status	 30	 —	 —	 I
Haze	Ice	Status	 30	 —	 —	 I
Reflect	Psychic	Status	 20	 —	 —	 I
Focus Energy	Normal	Status	 30	 —	 —	 I
Bide	Normal	Physical	 10	 —	 100%	 I
Metronome	Normal	Status	 10	 —	 —	 I
Mirror Move	Flying	Status	 20	 —	 —	 I
Self-Destruct	Normal	Physical	 5	 200*	 100%	 I
Egg Bomb	Normal	Physical	 10	 100	 75%	 I
Lick	Ghost	Physical	 30	 30*	 100%	 I
Smog	Poison	Special	 20	 30*	 70%	 I
